label,tempo,time_signature,key,loudness
hip hop,92.198,4,1,-11.197
blue-eyed soul,121.274,4,6,-9.843
salsa,100.07,1,8,-9.689
pop rock,119.293,4,0,-9.013
pop punk,129.738,4,2,-4.501
southern gospel,147.782,3,5,-9.323
breakbeat,111.787,1,1,-17.302
post-hardcore,101.43,3,4,-11.642
new wave,86.643,4,4,-13.496
breakcore,114.041,4,7,-6.697
alternative rock,146.765,1,5,-10.021
ccm,117.975,4,7,-7.545
bachata,130.04,4,9,-6.632
chanson,137.334,1,10,-7.75
quiet storm,125.197,3,3,-8.346
country rock,119.826,4,7,-8.576
chill-out,127.756,5,8,-16.11
qawwali,99.273,4,6,-8.032
hard rock,150.062,4,7,-5.271
indietronica,138.331,4,7,-6.787
classic country,86.186,3,1,-15.221
electric blues,110.382,1,11,-8.514
uk garage,111.874,4,2,-8.05
math-core,166.862,4,7,-4.264
pop rock,137.522,4,10,-12.332
post-grunge,164.672,1,7,-5.908
breakcore,125.006,4,6,-6.486
filk,90.022,1,5,-4.516
latin jazz,127.025,4,8,-9.616
jump blues,95.957,3,8,-18.051
soul jazz,110.189,3,6,-11.939
disco,138.007,4,4,-15.335
doo-wop,130.1,1,10,-10.922
classic country,160.839,1,4,-9.983
rap,41.993,1,7,-7.762
charanga,189.646,3,9,-9.512
noise rock,130.586,4,4,-9.063
dance pop,128.292,4,8,-8.879
orchestra,90.932,3,3,-17.699
cool jazz,89.667,4,1,-19.478
gothic metal,115.061,4,7,-7.469
ska punk,115.887,4,2,-2.022
blues,139.333,1,9,-10.358
salsa,117.271,4,0,-12.716
modern rock,102.428,4,3,-15.663
delta blues,89.984,4,2,-6.944
texas blues,116.721,4,1,-7.805
blues,123.142,4,7,-10.7
trip hop,141.919,4,0,-10.93
hardcore techno,95.596,4,10,-9.493
glam rock,154.953,1,11,-9.253
brazilian jazz,86.091,5,7,-12.009
gangster rap,90.218,4,7,-11.043
rock,133.144,1,11,-11.506
brazilian jazz,205.317,4,2,-14.179
soft rock,180.149,4,9,-8.531
easy listening,102.538,4,0,-8.541
dance rock,84.164,4,0,-6.629
singer-songwriter,124.175,4,7,-13.33
experimental rock,137.004,1,7,-12.412
meditation,106.33,4,7,-21.552
ccm,107.961,4,11,-8.686
speedcore,174.287,3,1,-6.222
southern rock,116.823,4,0,-5.907
zouk,101.972,4,0,-4.638
trance,127.97,4,11,-5.884
punk,152.622,4,4,-7.787
suomi rock,110.787,3,7,-8.488
rock,112.903,4,7,-9.603
easy listening,115.642,4,7,-26.266
gabba,125.013,4,1,-6.305
ccm,113.277,4,5,-9.998
pop rap,96.979,4,5,-9.161
heavy metal,140.995,1,8,-4.865
hip hop,105.206,4,11,-4.882
industrial metal,63.017,4,0,-12.951
rock,144.603,4,9,-11.751
freestyle,167.92,4,2,-6.693
brill building pop,129.122,1,9,-9.091
melodic hardcore,132.022,4,0,-2.658
british pop,183.92,1,1,-4.42
heavy metal,89.867,4,9,-11.051
chanson,119.896,5,2,-9.97
country rock,137.29,4,1,-11.335
country rock,82.343,1,5,-15.581
folk-pop,91.487,4,3,-11.98
easy listening,84.69,5,9,-11.215
stoner metal,115.606,4,2,-8.165
western swing,126.523,1,7,-12.69
indie rock,113.677,4,2,-8.7
rap rock,86.938,4,2,-5.758
indie rock,141.936,4,0,-4.907
ranchera,106.049,1,11,-8.133
chanson,126.88,4,8,-9.093
hip hop,85.008,5,1,-10.296
german pop,133.699,1,4,-12.839
easy listening,118.975,1,11,-13.71
breakcore,102.408,4,9,-2.119
hard bop,112.006,4,0,-14.438
free jazz,45.527,4,1,-13.002
shoegaze,85.621,4,4,-12.004
chill-out,108.061,4,8,-8.37
gospel,216.195,5,7,-11.829
blues-rock,132.428,4,7,-6.29
latin jazz,168.307,4,5,-15.761
chanson,140.956,7,0,-27.433
tech house,130.016,5,1,-5.701
hip hop,175.769,4,11,-8.709
country,100.194,3,7,-13.627
roots reggae,151.911,4,2,-11.479
freakbeat,119.691,4,9,-6.302
chicago soul,161.976,4,10,-10.466
blues-rock,172.398,1,0,-9.275
jazz fusion,109.823,3,2,-37.398
delta blues,90.101,1,1,-13.836
new jack swing,116.473,4,8,-7.103
piedmont blues,126.821,4,9,-13.495
jazz funk,111.191,3,2,-15.144
male vocalist,125.508,4,5,-12.991
chanson,137.888,1,4,-6.01
ghetto tech,150.012,4,6,-5.58
dance pop,108.367,4,10,-4.313
country rock,173.482,4,2,-17.285
stoner metal,110.745,4,4,-5.931
singer-songwriter,130.027,4,2,-14.248
blues-rock,110.168,4,11,-12.651
guitar,97.976,3,9,-16.056
pop rap,119.979,4,0,-5.913
progressive house,156.968,1,6,-5.541
hip hop,188.886,4,5,-6.019
post-grunge,133.306,4,9,-4.953
singer-songwriter,152.267,3,4,-18.114
gospel,166.275,4,1,-11.061
blue-eyed soul,114.971,4,2,-7.04
latin jazz,144.651,4,9,-15.358
vocal house,152.005,1,2,-11.213
los angeles,155.074,1,1,-5.904
lovers rock,61.971,1,10,-8.095
experimental rock,124.04,5,6,-7.982
arabesque,191.196,4,7,-8.804
grunge,152.127,4,7,-5.699
dance pop,100.023,4,10,-5.152
rock,192.688,4,10,-9.965
blues-rock,154.322,4,11,-11.976
bossa nova,236.006,4,5,-10.229
zouk,150.666,5,11,-6.284
rock,175.421,1,11,-3.818
thrash core,104.153,4,9,-4.633
folk-pop,127.278,4,11,-5.602
ccm,160.165,4,6,-5.157
breakcore,86.091,3,5,-1.925
dance pop,149.94,4,0,-5.21
easy listening,135.78,4,0,-12.717
tech house,122.967,4,7,-12.28
frevo,142.024,4,9,-9.748
black metal,135.535,7,2,-4.878
meditation,139.189,3,2,-23.988
serialism,128.598,5,8,-9.414
roots reggae,163.445,4,3,-9.741
bluegrass,114.027,3,7,-11.965
jazz funk,111.316,1,7,-12.779
grunge,105.994,3,4,-8.403
vocal jazz,88.489,1,8,-13.251
alternative metal,118.433,4,7,-5.884
flamenco,96.007,4,11,-6.929
blues-rock,187.807,4,9,-4.198
gangster rap,181.115,4,7,-6.998
honky tonk,148.357,4,2,-12.772
electronica,136.164,4,1,-18.147
vocal house,126.941,4,4,-7.661
country gospel,159.582,3,5,-17.308
hardcore punk,89.495,4,6,-28.347
heavy metal,102.259,3,5,-2.869
post-grunge,107.529,3,10,-7.309
brill building pop,99.408,4,0,-15.351
easy listening,79.731,4,9,-25.694
tejano,188.502,1,0,-9.435
pop rock,133.729,1,11,-4.793
chill-out,139.136,4,4,-17.623
sympho black metal,193.693,4,2,-6.2
chamber jazz,76.693,4,0,-19.821
dancehall,126.95,4,10,-9.632
hard house,144.812,1,6,-5.671
rap,138.003,4,11,-11.708
industrial metal,130.284,4,7,-16.968
gaita,152.013,4,10,-13.038
honky tonk,159.968,4,4,-10.647
grime,75.031,4,4,-4.172
new romantic,150.837,4,7,-10.756
happy hardcore,143.231,1,10,-3.422
tech house,123.993,4,11,-12.26
texas blues,97.981,1,11,-23.527
modern rock,137.288,4,2,-9.435
brazil,168.323,4,3,-8.639
future jazz,111.079,4,2,-7.672
bossa nova,133.009,4,0,-13.668
breakbeat,146.577,5,6,-6.885
black metal,140.458,3,6,-4.2
dance rock,132.506,4,0,-16.433
blues-rock,153.862,4,2,-6.951
french pop,93.238,4,9,-14.737
dance rock,124.086,4,0,-9.628
greek,66.765,1,2,-8.46
punk,145.518,4,9,-3.736
r&b,139.998,4,1,-4.376
breakbeat,90.648,3,0,-6.947
opera,140.334,4,2,-12.279
folk-pop,89.86,1,5,-15.736
ska,156.097,4,9,-5.871
british invasion,179.501,1,5,-12.053
turnablism,86.689,3,1,-6.248
pop folk,160.261,5,0,-13.703
jazz fusion,101.03,4,10,-9.716
alternative hip hop,155.038,4,6,-6.258
chicago blues,117.168,3,1,-11.702
latin jazz,132.967,1,2,-14.509
breakbeat,139.91,4,11,-9.062
stoner metal,95.882,4,9,-6.788
blues-rock,135.175,3,4,-12.772
western swing,121.983,3,7,-9.258
latin jazz,169.775,3,9,-24.597
doom metal,137.862,4,11,-8.161
hard house,83.326,3,1,-6.751
world beat,117.667,3,4,-29.295
